ID,Lat,Lng,Power,Name,Type,Double
71982,47.409,8.601,50,Nissan Neugut Garage Flury in Wallisellen,existing_station,0
1,46.445,6.297,50,Raststätte La Côte,service_station,1
4,46.991,7.476,50,Raststätte Grauholz,service_station,1
7,47.330,8.030,50,Raststätte Kölliken,service_station,1
73092,47.525,7.682,50,Aqua Basilea,existing_station,1
82390,46.311,7.750,50,Schnellladesäule winsun in Steg,existing_station,1
2,46.675,6.569,50,Raststätte de Bavois,service_station,0
3,46.832,6.857,50,Restouroute Rose de la Broye,service_station,0
5,47.229,7.622,50,Raststätte Deitingen,service_station,0
6,47.310,7.846,50,Raststätte Gunzgen,service_station,0
8,47.439,8.347,50,Raststätte Würenlos,service_station,0
9,47.449,8.700,50,Raststätte Kempthal,service_station,0
10,47.526,8.734,50,Raststätte Forrenberg,service_station,0
11,47.460,9.094,50,Raststätte Thurau,service_station,0
12,47.461,9.602,50,Raststätte St. Margrethen ,service_station,0
13,47.527,7.701,50,Raststätte Pratteln,service_station,0
14,47.336,7.829,50,Raststätte Eggberg,service_station,0
15,47.333,7.821,50,Raststätte Teufengraben,service_station,0
16,47.111,8.233,50,Raststätte Neuenkirch,service_station,0
17,46.847,8.633,50,Raststätte Gotthard,service_station,0
18,46.515,8.666,50,Raststätte San Gottardo,service_station,0
19,46.209,9.027,50,Raststätte Bellinzona,service_station,0
20,45.850,8.983,50,Raststätte Coldrerio,service_station,0
21,47.220,8.662,50,Raststätte Herrlisberg,service_station,0
22,47.196,8.752,50,Raststätte Fuchsberg,service_station,0
23,47.138,9.050,50,Raststätte Glarnerland,service_station,0
24,47.113,9.266,50,Raststätte Walensee,service_station,0
25,47.740,8.716,50,Raststätte Treffpunkt Thayngen,service_station,0
26,47.581,8.683,50,Raststätte Weinland,service_station,0
27,47.272,8.438,50,Raststätte Konaueramt,service_station,0
28,47.168,7.352,50,Raststätte Pieterlen,service_station,0
29,46.878,7.542,50,Raststätte Münsingen,service_station,0
30,46.505,6.710,50,Raststätte de Lavaux,service_station,0
31,46.337,6.931,50,Raststätte Relais Chablais,service_station,0
32,46.127,7.061,50,Raststätte Relais Grand St-Bernard ,service_station,0
33,46.682,7.087,50,Raststätte de la Gruyère,service_station,0
34,47.146,9.501,50,Raststätte Rheintal,service_station,0
35,47.012,9.512,50,Raststätte Heidiland,service_station,0
36,46.713,9.445,50,Raststätte Viamala,service_station,0
37,46.232,9.104,50,Raststätte Campagnola,service_station,0
38,47.318,2.087,50,Raststätte Heuberg,service_station,0
31544,46.823,7.150,50,Groupe E,existing_station,0
42441,47.502,8.763,50,DMG MORI Global Headquarter,existing_station,0
54282,46.017,8.962,50,Amag Evite,existing_station,0
62765,46.755,7.586,50,Thunstrasse,existing_station,0
62773,47.408,8.409,50,Josef Staub-Strasse,existing_station,0
